category,subcategory,name,current_price,raw_price,currency,discount,likes_count,is_new,brand,brand_url,codCountry,variation_0_color,variation_1_color,variation_0_thumbnail,variation_0_image,variation_1_thumbnail,variation_1_image,image_url,url,id,model
kids,Sandals,Sandales d'eau à bout fermé à séchage rapide pour enfants unisexe,16.2,32.4,USD,50,45,False,,,"ID,MY,PH,SG,TH,VN",Dark Blue,Green,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/0C/B7/0d577a41-b4bd-4300-8ae0-f0cbee56f940.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/0C/B7/0d577a41-b4bd-4300-8ae0-f0cbee56f940.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/04/7D/11a5df2f-f7f8-4149-956b-27df56c489c9.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/04/7D/11a5df2f-f7f8-4149-956b-27df56c489c9.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/F4/F0/a72f7113-7b4a-4677-84f4-d6b4466a40f3.jpg,https://fr.newchic.com/sandals-12140/p-1696009.html,1696009,SKUF46386
kids,Culottes de grossesse,Lot de 3 Culottes en Coton Pure Elastique Convenable pour Maternité,23.06,58.1,USD,60,202,False,,,"ID,MY,PH,SG,TH,VN",# 01,# 02,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/F5/83/7cbb4050-e461-4283-955f-9a724fa13232.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/F5/83/7cbb4050-e461-4283-955f-9a724fa13232.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/F8/E1/670e95c3-1c3d-4174-8d1e-623f9c64ae37.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/F8/E1/670e95c3-1c3d-4174-8d1e-623f9c64ae37.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/F4/DD/c95a8d0d-c173-44d4-84c4-e5036099bfc8.jpg,https://fr.newchic.com/maternity-panties-4853/p-1199879.html,1199879,SKU763599
kids,Culottes de grossesse,Sous-vêtements de maternité confortables taille haute,14.03,35.35,USD,60,153,False,,,"ID,MY,PH,SG,TH,VN",Beige,Bleu,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/78/04/6f3a6947-2086-4029-92a0-7cca26a1b115.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/78/04/6f3a6947-2086-4029-92a0-7cca26a1b115.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/28/41/e417f071-5385-4f3f-85db-338d7798f433.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/28/41/e417f071-5385-4f3f-85db-338d7798f433.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/B9/7F/7f7a5269-b3bf-4918-ae85-71db38fa26fb.jpg,https://fr.newchic.com/maternity-panties-4853/p-1320317.html,1320317,SKU983263
kids,Sandals,Unisexe Kids Comfy antidérapant jardin chaussures de sabot d'eau de jardin,6.99,13.0,USD,46,60,False,,,"ID,MY,PH,SG,TH,VN",Yellow,Green,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/6B/72/a263aa08-fa67-419d-af16-20d9a58981c8.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/6B/72/a263aa08-fa67-419d-af16-20d9a58981c8.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/F3/B6/c28b4231-ca94-4d0b-8129-b2220625378b.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/F3/B6/c28b4231-ca94-4d0b-8129-b2220625378b.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/75/34/6802aef2-ca27-43c3-916e-9e1b247c74db.jpg,https://fr.newchic.com/sandals-12132/p-1693907.html,1693907,SKUF43614
kids,Chaussures pour garçon,Sandales de plage légères pour garçon,12.45,22.0,USD,43,158,False,,,"ID,MY,PH,SG,TH,VN",vert,Bleu,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/89/C8/79224db0-9fc5-4786-953f-2daa8779e71f.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/89/C8/79224db0-9fc5-4786-953f-2daa8779e71f.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/3A/43/0912dfd6-30f4-4e52-9ca1-fd3e4d669c7d.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/3A/43/0912dfd6-30f4-4e52-9ca1-fd3e4d669c7d.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/CA/7E/a18ba779-63c0-433b-b1fa-5ea22e10d7e0.jpg,https://fr.newchic.com/boys-shoes-4572/p-1449419.html,1449419,SKUB67845
kids,Robes,Robe fille licorne papillon pour 4-13 ans,9.99,26.99,USD,63,914,False,,,"ID,MY,PH,SG,TH,VN",Rose,,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/05/C4/a712cff5-30b9-4c9a-bc41-b4bf7d6c4138.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/05/C4/a712cff5-30b9-4c9a-bc41-b4bf7d6c4138.jpg,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/ser1/newchic/images/80/DA/5205db8e-b7c6-4e96-b918-52ef76d5eb38.jpg,https://fr.newchic.com/dresses-4670/p-1441888.html,1441888,SKUB61343
kids,Robes,Girls Unicorn Rainbow Stripe Print Short-sleeved Casual Dress For 3-8Y,19.99,39.98,USD,50,42,False,,,"ID,MY,PH,SG,TH,VN",Pink,Gray,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/88/2E/23173447-d226-4818-b47a-fd30ec59fbae.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/88/2E/23173447-d226-4818-b47a-fd30ec59fbae.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/60/DA/94bb0c44-42b4-48a8-9118-e23aaff6bda1.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/60/DA/94bb0c44-42b4-48a8-9118-e23aaff6bda1.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/70/AC/cf8ca027-113c-4471-9ec2-3766468ee7af.jpg,https://fr.newchic.com/dresses-4670/p-1678233.html,1678233,SKUF15571
kids,Pantalons & Jupes,Jeans brodé chat fille pour 3-15 ans,18.04,45.46,USD,60,670,False,,,"ID,MY,PH,SG,TH,VN",1,2,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/6D/41/3c62feb9-8c51-415f-a63f-07d7ed9cab8a.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/6D/41/3c62feb9-8c51-415f-a63f-07d7ed9cab8a.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/35/BB/e7f98b60-9e60-4d30-b014-8a87f5336bd3.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/35/BB/e7f98b60-9e60-4d30-b014-8a87f5336bd3.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/ser1/newchic/images/A1/FE/8e5fa441-4875-4ae4-a57e-ab9010b8378b.png,https://fr.newchic.com/girls-bottoms-4671/p-1499924.html,1499924,SKUC20097
kids,Pantalons & Jupes,Combinaison dos nu fille pour 3Y-11Y,20.05,50.52,USD,60,686,False,,,"ID,MY,PH,SG,TH,VN",Gris foncé,,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/63/F8/0cf499db-3ee8-4f00-9a11-384053e7938a.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/63/F8/0cf499db-3ee8-4f00-9a11-384053e7938a.jpg,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/82/DF/ba8e4236-58a1-48dd-b9f0-b19033e45c8b.jpg,https://fr.newchic.com/girls-bottoms-4671/p-1277757.html,1277757,SKU908275
kids,Pantalons & Jupes,Combinaison à fleurs Bohème pour filles,24.06,60.63,USD,60,667,False,,,"ID,MY,PH,SG,TH,VN",Orange,,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/6F/0A/98109920-bc9a-4d12-a4b2-7c6d0970cbb6.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/6F/0A/98109920-bc9a-4d12-a4b2-7c6d0970cbb6.jpg,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/6F/0A/98109920-bc9a-4d12-a4b2-7c6d0970cbb6.jpg,https://fr.newchic.com/girls-bottoms-4671/p-1300717.html,1300717,SKU932518
kids,Robes,Robe de fleur de princesse fille 2PCs pour 1-7Y,32.09,80.84,USD,60,171,False,,,"ID,MY,PH,SG,TH,VN",Blue,Wine Red,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/ser1/newchic/images/72/AF/3bc544a2-0929-460d-bd26-37e0b8aad31a.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/ser1/newchic/images/72/AF/3bc544a2-0929-460d-bd26-37e0b8aad31a.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/ser1/newchic/images/90/A7/b5ea36fb-c124-496c-89dd-933d12d51625.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/ser1/newchic/images/90/A7/b5ea36fb-c124-496c-89dd-933d12d51625.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/ser1/newchic/images/90/A7/b5ea36fb-c124-496c-89dd-933d12d51625.jpg,https://fr.newchic.com/dresses-4670/p-1624942.html,1624942,SKUE26603
kids,Robes,Filles Robe Grise Plissée Pour 4Y-15Y,49.14,123.8,USD,60,752,False,,,"ID,MY,PH,SG,TH,VN",Rose,,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/BD/88/25e71953-9af2-4ff6-a353-8b308d12802e.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/BD/88/25e71953-9af2-4ff6-a353-8b308d12802e.jpg,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/26/10/117b0972-0658-453f-a141-3b059c9e4c1d.jpg,https://fr.newchic.com/dresses-4670/p-1347579.html,1347579,SKUA25498
kids,Robes,Filles Sling Sun Print Dress mignon pour 2-9Y,15.03,37.88,USD,60,263,False,,,"ID,MY,PH,SG,TH,VN",Yellow,,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/18/03/0c6e99b1-c67d-43bb-9cc5-7f6422e09cc9.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/18/03/0c6e99b1-c67d-43bb-9cc5-7f6422e09cc9.jpg,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/18/03/0c6e99b1-c67d-43bb-9cc5-7f6422e09cc9.jpg,https://fr.newchic.com/dresses-4670/p-1525806.html,1525806,SKUC77175
kids,Robes,Robe mère-fille fleurie assortie,23.99,39.99,USD,40,104,False,,,"ID,MY,PH,SG,TH,VN",,,,,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/05/B5/e9d63ee4-cb58-410b-a5ed-d78eaf496071.jpg,https://fr.newchic.com/dresses-4670/p-1365953.html,1365953,SKUA43605
kids,Pantalons & Jupes,Combinaisons Dot Design Girls pour 2Y-11Y,26.07,65.68,USD,60,1045,False,,,"ID,MY,PH,SG,TH,VN",Noir,,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/F2/1E/47eb2ecc-8d7e-4414-9658-00a7a8d4c4f9.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/F2/1E/47eb2ecc-8d7e-4414-9658-00a7a8d4c4f9.jpg,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/6C/20/17ae0180-48e8-4d12-9485-8846486e1f8b.jpg,https://fr.newchic.com/girls-bottoms-4671/p-1281655.html,1281655,SKU904030
kids,Tops & T-shirt,T-shirt garçon imprimé crocodile pour 2-8 ans,9.49,18.98,USD,50,30,False,,,"ID,MY,PH,SG,TH,VN",Dark Blue,,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/B7/92/f811284a-b5cc-408d-aec8-72da285ea60d.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/B7/92/f811284a-b5cc-408d-aec8-72da285ea60d.jpg,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/B7/92/f811284a-b5cc-408d-aec8-72da285ea60d.jpg,https://fr.newchic.com/kids-tops-and-t-shirt-4606/p-1664939.html,1664939,SKUE90466
kids,Robes,Robe de princesse fille licorne pour 3-13 ans,29.08,73.26,USD,60,977,False,,,"ID,MY,PH,SG,TH,VN",Jaune,Violet,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/DF/17/7237c535-a079-4827-9d60-bdaeb36e7612.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/DF/17/7237c535-a079-4827-9d60-bdaeb36e7612.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/2A/CF/0db94595-de68-468e-8e9a-db33a6079a7f.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/2A/CF/0db94595-de68-468e-8e9a-db33a6079a7f.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/2A/CF/0db94595-de68-468e-8e9a-db33a6079a7f.jpg,https://fr.newchic.com/dresses-4670/p-1448500.html,1448500,SKUB66991
kids,Tops & T-shirt,T-shirt d'été pour garçon dinosaure pour 2-10 ans,11.52,29.04,USD,60,44,False,,,"ID,MY,PH,SG,TH,VN",Green,Blue,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/18/FE/aa09dd74-068e-4083-8ab8-dc9030eee606.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/18/FE/aa09dd74-068e-4083-8ab8-dc9030eee606.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/96/55/10dcd6bc-21ff-497d-a693-5970a28d1083.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/96/55/10dcd6bc-21ff-497d-a693-5970a28d1083.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/96/55/10dcd6bc-21ff-497d-a693-5970a28d1083.jpg,https://fr.newchic.com/kids-tops-and-t-shirt-4606/p-1664940.html,1664940,SKUE90499
